0,1,2,3,4,5,6,7,8
1,,Nicolás Sumavil,14,1,,,,
2,,Juan Rago,12,3,,,,
3,,Darío Sand,12,3,,,,
4,,Tiago Libares,11,3,,,,
5,,Daniel Sappa,11,1,,,,
6,,Mariano Monllor,11,2,,,,
7,,Agustín Rufinetti,11,1,,,,
8,,Germán Salort,10,0,,,,
9,,Gastón Canuto,9,2,,,,
10,,Fabricio Henricot,9,2,,,,
11,,Milton Álvarez,9,2,,,,
12,,Nicolás Avellaneda,9,1,,,,
13,,Esteban Glellel,9,0,,,,
14,,Ezequiel Mastrolia,8,2,,,,
15,,Lautaro Petruchi,7,3,,,,
16,,Marcos Díaz,7,2,,,,
17,,Alejandro Medina,7,2,,,,
18,,Emilio Di Fulvio,7,2,,,,
19,,Ramiro Martinez,7,0,,,,
20,,Nahuel Pezzini,7,1,,,,
